      Input Object Name       	     RA     	    Dec     	  cz  	 Redshift 	 Redshift  	 z  	Basic-Data	Basic-Data
                              	  J2000.0   	  J2000.0   	 km/s 	          	Uncertainty	Qual	Major Diam	Minor Diam
                              	            	            	      	          	           	    	 (arcmin) 	 (arcmin)  
HCG 66c                       	13h38m35.11s	+57d18m29.4s	 20801	  0.069385	   0.000247	    	      0.32	      0.16
HCG 66d                       	13h38m34.42s	+57d18m15.6s	 20666	  0.068935	   0.000176	    	      0.17	      0.12
HCG 67a                       	13h49m11.40s	-07d13m27.8s	  7213	  0.024060	   0.000043	    	      1.96	      1.81
HCG 67b                       	13h48m59.46s	-07d11m41.8s	  7588	  0.025311	   0.000033	    	       2.1	       0.4
HCG 67c                       	13h49m12.28s	-07d12m32.8s	  7528	  0.025111	   0.000077	    	       0.7	       0.3
HCG 67d                       	13h49m09.80s	-07d13m54.3s	  7101	  0.023686	   0.000073	    	      0.55	      0.33
HCG 68a                       	13h53m26.69s	+40d16m58.9s	  2325	  0.007755	   0.000010	    	       2.2	       1.1
HCG 68b                       	13h53m26.70s	+40d18m09.9s	  2579	  0.008603	   0.000043	    	       1.4	       1.3
HCG 68c                       	13h53m21.63s	+40d21m50.2s	  2321	  0.007742	   0.000007	    	       3.2	       2.3
HCG 68d                       	13h53m45.56s	+40d20m19.2s	  2344	  0.007819	   0.000017	    	      1.12	      0.72
HCG 68e                       	13h54m00.41s	+40d16m38.3s	  2412	  0.008046	   0.000017	    	      1.24	      0.49
HCG 69a                       	13h55m29.76s	+25d04m25.2s	  8856	  0.029540	   0.000160	    	      1.58	      0.37
HCG 69b                       	13h55m34.39s	+25d02m59.2s	  8724	  0.029100	   0.000090	    	      0.59	      0.38
HCG 69c                       	13h55m32.57s	+25d04m27.7s	  8546	  0.028506	   0.000147	    	      0.45	      0.37
HCG 69d                       	13h55m28.38s	+25d04m24.9s	  8859	  0.029552	   0.000164	    	      0.11	      0.09
HCG 70d                       	14h04m09.85s	+33d20m45.5s	 18846	  0.062863	   0.000163	    	      0.48	      0.40
HCG 70e                       	14h04m05.87s	+33d19m14.6s	 19117	  0.063767	   0.000183	    	       0.4	       0.4
HCG 70f                       	14h04m04.32s	+33d19m45.2s	 19243	  0.064188	   0.000434	    	      0.26	      0.21
HCG 70g                       	14h04m00.12s	+33d19m54.3s	 19010	  0.063411	   0.000300	    	      0.24	      0.21
HCG 72a                       	14h47m53.39s	+19d04m37.5s	 12506	  0.041716	   0.000120	    	       0.5	       0.1
HCG 72b                       	14h47m54.92s	+19d03m36.1s	 12356	  0.041215	   0.000127	    	      0.52	      0.22
HCG 72c                       	14h47m56.81s	+19d02m42.3s	 13062	  0.043570	   0.000133	    	       0.6	       0.2
HCG 72d                       	14h47m55.64s	+19d03m26.2s	 12558	  0.041889	   0.000150	    	       0.2	       0.2
HCG 72f                       	14h47m55.11s	+19d02m50.7s	 13950	  0.046532	   0.000344	    	      0.30	      0.20
HCG 74a                       	15h19m24.74s	+20d53m46.8s	 12255	  0.040878	   0.000100	    	      0.82	      0.77
HCG 74b                       	15h19m24.26s	+20d53m26.9s	 11976	  0.039948	   0.000070	    	      0.62	      0.43
HCG 74c                       	15h19m25.84s	+20d53m58.3s	 12266	  0.040915	   0.000143	    	      0.45	      0.30
HCG 74d                       	15h19m31.79s	+20d53m00.8s	 11681	  0.038964	   0.000140	    	      0.33	      0.26
HCG 74e                       	15h19m27.79s	+20d54m32.0s	 11489	  0.038323	   0.000324	    	      0.20	      0.13
HCG 75a                       	15h21m30.25s	+21d11m28.4s	 12538	  0.041822	   0.000140	    	      0.73	      0.53
HCG 75b                       	15h21m30.43s	+21d11m32.8s	 12228	  0.040788	   0.000143	    	      0.63	      0.17
HCG 75c                       	15h21m38.79s	+21d10m37.1s	 12292	  0.041002	   0.000187	    	      0.35	      0.23
HCG 75d                       	15h21m37.20s	+21d10m53.5s	 12334	  0.041142	   0.000140	    	      0.33	      0.18
