#Type ObjectName       	        RA     	        Dec     	 limit_cz   cz    Redshift    Redshift_uncertainty  zQual    MajorDiam	 MinorDiam
HCG39b                       	09h29m28.48s	-01d20m57.9s NULL 	 21176	  0.070636	   0.000203	   :	          0.26	      0.19
HCG39c                       	09h29m29.38s	-01d21m09.1s NULL	 20667	  0.068938	   0.000117	 NULL   	      0.26	      0.18
HCG39d                       	09h29m27.13s	-01d20m22.3s NULL	 21048	  0.070209	   0.000123	 NULL   	      0.23	      0.16
HCG40a                       	09h38m53.55s	-04d50m57.4s NULL	  6628	  0.022109	   0.000090	 NULL   	       1.3	       1.0
HCG40b                       	09h38m54.96s	-04d51m57.7s NULL	  6842	  0.022822	   0.000090	 NULL   	       1.1	       0.7
HCG40c                       	09h38m53.61s	-04d51m36.6s NULL	  6406	  0.021369	   0.000020	 NULL   	       1.1	       0.3
HCG40d                       	09h38m55.85s	-04d50m13.5s NULL	  6492	  0.021655	   0.000070	 NULL   	       0.9	       0.4
HCG40e                       	09h38m55.44s	-04d51m30.1s NULL	  6633	  0.022125	   0.000077	 NULL   	       0.7	       0.3
HCG42a                       	10h00m14.29s	-19d38m13.1s NULL	  3964	  0.013222	   0.000033	 NULL   	       3.0	       1.9
HCG42b                       	10h00m33.11s	-19d39m43.1s NULL	  4228	  0.014103	   0.000060	 NULL   	       1.0	       0.8
HCG42c                       	10h00m10.29s	-19d37m18.5s NULL	  4005	  0.013359	   0.000103	 NULL   	       0.4	       0.4
HCG42d                       	10h00m12.98s	-19d40m22.9s NULL	  4042	  0.013483	   0.000100	 NULL   	      0.44	      0.36
HCG43a                       	10h11m19.89s	-00d01m22.7s NULL	 10163	  0.033900	   0.000127	 NULL   	      0.70	      0.27
HCG43b                       	10h11m07.52s	-00d02m31.9s NULL	 10087	  0.033647	   0.000117	 NULL   	      1.01	      0.18
HCG43c                       	10h11m12.66s	-00d04m03.1s NULL	  9916	  0.033076	   0.000110	 NULL   	      0.50	      0.28
HCG43d                       	10h11m13.00s	-00d05m13.6s NULL	  9630	  0.032122	   0.000123	 NULL   	      0.30	      0.27
HCG43e                       	10h11m14.31s	-00d03m04.9s NULL	  9636	  0.032142	   0.000227	   :	           0.27	      0.25
HCG44a                       	10h18m05.63s	+21d49m56.3s NULL	  1271	  0.004240	   0.000047	 NULL   	       4.4	       1.5
HCG44b                       	10h18m24.90s	+21d53m38.3s NULL	  1381	  0.004607	   0.000017	 NULL   	       3.0	       2.7
HCG44c                       	10h17m38.57s	+21d41m17.7s NULL	  1217	  0.004060	   0.000005	 NULL   	      2.16	      1.10
HCG44d                       	10h17m47.86s	+21d52m24.0s NULL	  1581	  0.005274	   0.000010	 NULL   	       3.0	       1.3
HCG45a                       	10h19m13.76s	+59d07m51.9s NULL	 21811	  0.072754	   0.000113	 NULL   	      1.21	      0.39
HCG45b                       	10h19m05.32s	+59d06m19.9s NULL	 22195	  0.074035	   0.000097	 NULL   	      0.55	      0.31
HCG45c                       	10h19m07.77s	+59d05m04.3s NULL	 21781	  0.072653	   0.000162	 NULL   	      0.16	      0.10
HCG45d                       	10h19m16.20s	+59d08m15.2s NULL	 20735	  0.069165	   0.000143	 NULL   	      0.28	      0.17
