#ObjectName,RA,Dec,RA_deg,Dec_deg,l_cz,cz,z,z_uncertainty,z_Qual,ANG_SIZE_MAJ,ANG_SIZE_MIN
HCG56b,11:32:40.25,+52:57:01.4,173.16770833333334,52.95038888888889,,7919,0.026415,1.27E-4,,0.65,0.36
HCG56c,11:32:36.73,+52:56:51.7,173.15304166666667,52.947694444444444,,8110,0.027052,9.3E-5,,0.74,0.56
HCG56d,11:32:35.33,+52:56:50.1,173.1472083333333,52.94724999999999,,8346,0.027839,1.87E-4,,0.42,0.26
HCG56e,11:32:32.77,+52:56:21.4,173.13654166666666,52.939277777777775,,7988,0.026645,9.9E-5,,0.44,0.31
HCG57a,11:37:53.90,+21:58:53.0,174.47458333333333,21.981388888888887,,8727,0.02911,1.03E-4,,1.7,0.5
HCG57b,11:37:43.62,+22:00:35.4,174.43174999999997,22.00983333333333,,9022,0.030094,6.7E-5,,1.1,0.5
HCG57c,11:37:51.64,+21:58:27.3,174.46516666666665,21.974249999999998,,9081,0.030291,1.2E-4,,0.8,0.7
HCG57d,11:37:54.92,+21:59:07.8,174.4788333333333,21.985500000000002,,8977,0.029944,1.37E-4,,0.4,0.3
HCG57e,11:37:49.06,+22:01:34.1,174.45441666666667,22.026138888888887,,8816,0.029407,6.3E-5,,0.7,0.4
HCG57f,11:37:53.86,+21:56:11.3,174.47441666666666,21.93647222222222,,9394,0.031335,1.3E-4,,0.69,0.4
HCG57g,11:37:44.43,+22:01:16.6,174.435125,22.02127777777778,,9463,0.031565,7.7E-5,,0.4,0.2
HCG57h,11:37:50.50,+22:00:45.2,174.46041666666665,22.012555555555554,,9240,0.030821,3.5E-4,,0.33,0.28
HCG58a,11:42:11.11,+10:16:40.0,175.54629166666666,10.277777777777779,,6267,0.020904,2.0E-5,,1.4,0.8
HCG58b,11:42:23.73,+10:15:50.9,175.59887499999996,10.264138888888889,,6503,0.021692,5.7E-5,,1.68,0.96
HCG58c,11:41:52.95,+10:18:15.8,175.47062499999996,10.304388888888887,,6103,0.020357,6.3E-5,,1.09,0.84
HCG58d,11:42:05.86,+10:21:04.1,175.52441666666667,10.351138888888887,,6274,0.020928,3.7E-5,,0.91,0.73
HCG58e,11:42:04.91,+10:23:03.3,175.52045833333332,10.38425,,6102,0.020355,1.1E-4,,0.65,0.5
HCG59a,11:48:27.52,+12:43:38.6,177.11466666666664,12.72738888888889,,4109,0.013706,1.03E-4,,0.59,0.54
HCG59b,11:48:20.12,+12:42:59.7,177.08383333333336,12.716583333333332,,4004,0.013356,8.7E-5,,0.5,0.5
HCG59c,11:48:32.45,+12:42:19.1,177.1352083333333,12.705305555555556,,4394,0.014656,8.6E-5,,0.9,0.29
HCG59d,11:48:30.66,+12:43:47.3,177.12775,12.729805555555556,,3635,0.012125,1.16E-4,,0.69,0.43
HCG60a,12:03:07.12,+51:40:30.6,180.77966666666669,51.67516666666667,,19007,0.063401,1.53E-4,,0.58,0.45
HCG60b,12:02:56.53,+51:41:42.0,180.73554166666662,51.695,,18396,0.061363,1.77E-4,,0.38,0.21
HCG60c,12:03:06.93,+51:41:07.6,180.77887500000003,51.68544444444445,,19277,0.064301,6.0E-4,,0.37,0.26
HCG60d,12:03:09.62,+51:40:41.4,180.79008333333334,51.67816666666667,,18223,0.060785,1.57E-4,,0.34,0.28
HCG62a,12:53:05.81,-09:12:13.8,193.27420833333332,-9.203833333333334,,4259,0.014206,3.3E-5,,0.7,0.5
HCG62b,12:53:04.46,-09:11:59.7,193.2685833333333,-9.199916666666667,,3561,0.011878,6.0E-5,,2.6,2.0
HCG62c,12:53:09.81,-09:11:52.1,193.290875,-9.197805555555554,,4432,0.014784,5.7E-5,,0.4,0.3
HCG62d,12:53:06.63,-09:15:27.5,193.27762500000003,-9.25763888888889,,4174,0.013923,1.1E-4,,0.66,0.56
HCG65a,13:29:50.93,-29:30:52.7,202.4622083333333,-29.514638888888886,,13735,0.045815,1.0E-5,,1.4,0.8
HCG65b,13:29:54.80,-29:29:48.9,202.47833333333332,-29.496916666666667,,14662,0.048907,1.5E-4,,0.91,0.4
HCG65c,13:29:53.17,-29:29:30.7,202.47154166666667,-29.49186111111111,,14147,0.047189,1.5E-4,,0.63,0.49
HCG65d,13:29:52.12,-29:30:47.3,202.46716666666669,-29.513138888888893,,13733,0.04581,9.0E-6,,0.33,0.23
HCG65e,13:29:55.43,-29:29:29.6,202.48095833333332,-29.491555555555554,,14405,0.04805,3.57E-4,,0.15,0.15
HCG66a,13:38:38.25,+57:18:44.3,204.659375,57.312305555555554,,20688,0.069008,1.2E-4,,0.45,0.39
HCG66b,13:38:40.38,+57:18:45.1,204.66825,57.31252777777778,,21440,0.071515,1.74E-4,,0.49,0.27
HCG66c,13:38:35.11,+57:18:29.4,204.64629166666666,57.308166666666665,,20801,0.069385,2.47E-4,,0.32,0.16
HCG66d,13:38:34.42,+57:18:15.6,204.64341666666667,57.30433333333333,,20666,0.068935,1.76E-4,,0.17,0.12
HCG67a,13:49:11.40,-07:13:27.8,207.29749999999999,-7.224388888888889,,7213,0.02406,4.3E-5,,1.96,1.81
HCG67b,13:48:59.46,-07:11:41.8,207.24775,-7.1949444444444435,,7588,0.025311,3.3E-5,,2.1,0.4
HCG67c,13:49:12.28,-07:12:32.8,207.30116666666666,-7.209111111111111,,7528,0.025111,7.7E-5,,0.7,0.3
HCG67d,13:49:09.80,-07:13:54.3,207.29083333333338,-7.231749999999999,,7101,0.023686,7.3E-5,,0.55,0.33
HCG68a,13:53:26.69,+40:16:58.9,208.3612083333333,40.283027777777775,,2325,0.007755,1.0E-5,,2.2,1.1
HCG68b,13:53:26.70,+40:18:09.9,208.36125000000004,40.30275,,2579,0.008603,4.3E-5,,1.4,1.3
HCG68c,13:53:21.63,+40:21:50.2,208.340125,40.36394444444445,,2321,0.007742,7.0E-6,,3.2,2.3
